method,venue,year,prompt,training_setting,split_or_domain,metric,value,source_url,source_location,status,verified_on,notes
VLCounter,AAAI,2024,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,General Scene,MAE,22.85,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
VLCounter,AAAI,2024,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Remote Sensing,MAE,22.46,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
VLCounter,AAAI,2024,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Histopathology,MAE,55.14,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
VLCounter,AAAI,2024,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Cellular Microscopy,MAE,125.83,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
VLCounter,AAAI,2024,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Agriculture,MAE,306.38,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
VLCounter,AAAI,2024,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Microbiology,MAE,37.72,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
VA-Count,ECCV,2024,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Full Test,MAE,33.81,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
VA-Count,ECCV,2024,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Full Test,RMSE,130.73,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
VA-Count,ECCV,2024,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Full Test,NAE,4.59,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
VA-Count,ECCV,2024,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,General Scene,MAE,21.84,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
VA-Count,ECCV,2024,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Remote Sensing,MAE,36.42,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
VA-Count,ECCV,2024,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Histopathology,MAE,72.5,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
VA-Count,ECCV,2024,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Cellular Microscopy,MAE,163.73,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
VA-Count,ECCV,2024,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Agriculture,MAE,315.23,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
VA-Count,ECCV,2024,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Microbiology,MAE,20.47,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
CountGD,NeurIPS,2024,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Full Test,MAE,56.62,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
CountGD,NeurIPS,2024,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Full Test,RMSE,1099.56,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
CountGD,NeurIPS,2024,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Full Test,NAE,5.17,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
CountGD,NeurIPS,2024,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,General Scene,MAE,54.75,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
CountGD,NeurIPS,2024,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Remote Sensing,MAE,42.25,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
CountGD,NeurIPS,2024,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Histopathology,MAE,99.69,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
CountGD,NeurIPS,2024,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Cellular Microscopy,MAE,114.5,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
CountGD,NeurIPS,2024,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Agriculture,MAE,244.8,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
CountGD,NeurIPS,2024,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Microbiology,MAE,11.09,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
YOLO-Count,ICCV,2025,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Full Test,MAE,33.28,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
YOLO-Count,ICCV,2025,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Full Test,RMSE,133.66,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
YOLO-Count,ICCV,2025,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Full Test,NAE,1.08,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
YOLO-Count,ICCV,2025,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,General Scene,MAE,23.95,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
YOLO-Count,ICCV,2025,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Remote Sensing,MAE,27.7,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
YOLO-Count,ICCV,2025,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Histopathology,MAE,72.5,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
YOLO-Count,ICCV,2025,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Cellular Microscopy,MAE,168.37,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
YOLO-Count,ICCV,2025,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Agriculture,MAE,309.3,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
YOLO-Count,ICCV,2025,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Microbiology,MAE,24.33,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
T2ICount,CVPR,2025,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Full Test,MAE,49.7,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
T2ICount,CVPR,2025,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Full Test,RMSE,156.97,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
T2ICount,CVPR,2025,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Full Test,NAE,8.83,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
T2ICount,CVPR,2025,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,General Scene,MAE,32.85,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
T2ICount,CVPR,2025,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Remote Sensing,MAE,62.48,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
T2ICount,CVPR,2025,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Histopathology,MAE,73.06,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
T2ICount,CVPR,2025,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Cellular Microscopy,MAE,151.3,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
T2ICount,CVPR,2025,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Agriculture,MAE,296.37,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
T2ICount,CVPR,2025,not fully reported in CLOC paper,FSC-147-trained official checkpoint; out-of-box on CLOC-v1.1,Microbiology,MAE,203.51,https://github.com/Mengqi-Lei/count-anything/blob/main/assets/readme/cloc_v1_1_main_results_table.png,assets/readme/cloc_v1_1_main_results_table.png,verified,2026-08-10,CLOC-v1.1 corrected-test static official snapshot; lower is better; no public submission leaderboard
