"abbreviation","title","venue","year","categories","paper_url","code_url","highlight","status","verified_on","notes"
"LCFCN","Where Are the Blobs: Counting by Localization with Point Supervision","ECCV","2018","Class-specific Counting","https://www.ecva.net/papers/eccv_2018/papers_ECCV/papers/Issam_Hadj_Laradji_Where_are_the_ECCV_2018_paper.pdf","https://github.com/ElementAI/LCFCN","no","verified","2026-08-10","Point-supervised counting and localization"
"GMN","Class-Agnostic Counting","ACCV","2018","Class-agnostic Counting;Exemplar-based Counting","https://ora.ox.ac.uk/objects/uuid%3A0700b0af-1b14-4f4e-a7bc-8f38e93b4a51","","yes","verified","2026-08-10","Seminal class-agnostic exemplar counting"
"PhenoDC","Pheno-Deep Counter: A Unified and Versatile Deep Learning Architecture for Leaf Counting","The Plant Journal","2018","Class-specific Counting","https://pmc.ncbi.nlm.nih.gov/articles/PMC6282617/","https://bitbucket.org/tuttoweb/pheno-deep-counter","no","verified","2026-08-10","Classic agricultural leaf counting"
"BL","Bayesian Loss for Crowd Count Estimation with Point Supervision","ICCV","2019","Class-specific Counting","https://openaccess.thecvf.com/content_ICCV_2019/html/Ma_Bayesian_Loss_for_Crowd_Count_Estimation_With_Point_Supervision_ICCV_2019_paper.html","https://github.com/ZhihengCV/Bayesian-Crowd-Counting","no","verified","2026-08-10","Representative point-supervised crowd-counting loss"
"DM-Count","Distribution Matching for Crowd Counting","NeurIPS","2020","Class-specific Counting","https://proceedings.neurips.cc/paper/2020/hash/118bd558033a1016fcc82560c65cca5f-Abstract.html","https://github.com/cvlab-stonybrook/DM-Count","no","verified","2026-08-10","Optimal-transport point-distribution matching"
"FamNet","Learning To Count Everything","CVPR","2021","Class-agnostic Counting;Exemplar-based Counting","https://openaccess.thecvf.com/content/CVPR2021/html/Ranjan_Learning_To_Count_Everything_CVPR_2021_paper.html","https://github.com/cvlab-stonybrook/LearningToCountEverything","yes","verified","2026-08-10","Introduced FSC-147 and modern few-shot CAC protocol"
"P2PNet","Rethinking Counting and Localization in Crowds: A Purely Point-Based Framework","ICCV","2021","Class-specific Counting","https://openaccess.thecvf.com/content/ICCV2021/html/Song_Rethinking_Counting_and_Localization_in_Crowds_A_Purely_Point-Based_Framework_ICCV_2021_paper.html","https://github.com/TencentYoutuResearch/CrowdCounting-P2PNet","no","verified","2026-08-10","Point-based crowd counting and localization"
"BMNet+","Represent Compare and Learn: A Similarity-Aware Framework for Class-Agnostic Counting","CVPR","2022","Class-agnostic Counting;Exemplar-based Counting","https://openaccess.thecvf.com/content/CVPR2022/html/Shi_Represent_Compare_and_Learn_A_Similarity-Aware_Framework_for_Class-Agnostic_Counting_CVPR_2022_paper.html","https://tiny.one/BMNet","no","verified","2026-08-10","Similarity-aware exemplar counting"
"CounTR","CounTR: Transformer-Based Generalised Visual Counting","BMVC","2022","Class-agnostic Counting;Exemplar-based Counting","https://ora.ox.ac.uk/objects/uuid%3Aebe0f751-f83d-4b71-8fc4-4298cb0cb658","https://github.com/Verg-Avesta/CounTR","no","verified","2026-08-10","Supports exemplar and zero-exemplar modes"
"RCAC","Class-Agnostic Object Counting Robust to Intraclass Diversity","ECCV","2022","Class-agnostic Counting;Exemplar-based Counting","https://www.ecva.net/papers/eccv_2022/papers_ECCV/html/642_ECCV_2022_paper.php","https://github.com/Yankeegsj/RCAC","no","verified","2026-08-10","Robust to intraclass diversity"
"Counting-DETR","Few-Shot Object Counting and Detection","ECCV","2022","Class-agnostic Counting;Exemplar-based Counting","https://www.ecva.net/papers/eccv_2022/papers_ECCV/papers/136800336.pdf","https://github.com/VinAIResearch/Counting-DETR","no","verified","2026-08-10","Few-shot counting and localization; introduced FSCD benchmarks"
"RepRPN-Counter","Exemplar Free Class Agnostic Counting","ACCV","2022","Class-agnostic Counting","https://openaccess.thecvf.com/content/ACCV2022/html/Ranjan_Exemplar_Free_Class_Agnostic_Counting_ACCV_2022_paper.html","https://github.com/Viresh-R/ExemplarFreeCounting","no","verified","2026-08-10","Reference-less counting of the dominant repeated class"
"SAFECount","Few-Shot Object Counting with Similarity-Aware Feature Enhancement","WACV","2023","Class-agnostic Counting;Exemplar-based Counting","https://openaccess.thecvf.com/content/WACV2023/html/You_Few-Shot_Object_Counting_With_Similarity-Aware_Feature_Enhancement_WACV_2023_paper.html","https://github.com/zhiyuanyou/SAFECount","no","verified","2026-08-10","Similarity-aware feature enhancement"
"ZSC","Zero-Shot Object Counting","CVPR","2023","Class-agnostic Counting;Open-vocabulary Counting","https://openaccess.thecvf.com/content/CVPR2023/html/Xu_Zero-Shot_Object_Counting_CVPR_2023_paper.html","https://github.com/cvlab-stonybrook/zero-shot-counting","no","verified","2026-08-10","Text-specified zero-shot counting"
"CLIP-Count","CLIP-Count: Towards Text-Guided Zero-Shot Object Counting","ACM MM","2023","Class-agnostic Counting;Open-vocabulary Counting;MLLM-based Counting","https://arxiv.org/abs/2305.07304","https://github.com/songrise/CLIP-Count","yes","verified","2026-08-10","Text-guided density counter based on CLIP"
"CounTX","Open-World Text-Specified Object Counting","BMVC","2023","Class-agnostic Counting;Open-vocabulary Counting","https://arxiv.org/abs/2306.01851","https://www.robots.ox.ac.uk/~vgg/research/countx/","no","verified","2026-08-10","Open-world text-specified counting"
"LOCA","A Low-Shot Object Counting Network with Iterative Prototype Adaptation","ICCV","2023","Class-agnostic Counting;Exemplar-based Counting","https://openaccess.thecvf.com/content/ICCV2023/html/Dukic_A_Low-Shot_Object_Counting_Network_With_Iterative_Prototype_Adaptation_ICCV_2023_paper.html","https://github.com/djukicn/loca","no","verified","2026-08-10","Low-shot exemplar and reference-less counting"
"ICACount","Interactive Class-Agnostic Object Counting","ICCV","2023","Class-agnostic Counting;Exemplar-based Counting","https://openaccess.thecvf.com/content/ICCV2023/html/Huang_Interactive_Class-Agnostic_Object_Counting_ICCV_2023_paper.html","https://yifehuang97.github.io/ICACountProjectPage/","no","verified","2026-08-10","Interactive correction of a class-agnostic counter"
"MACnet","MACnet: Mask Augmented Counting Network for Class-Agnostic Counting","Pattern Recognition Letters","2023","Class-agnostic Counting;Exemplar-based Counting","https://www.sciencedirect.com/science/article/pii/S016786552300082X","","no","verified","2026-08-10","Mask-exemplar class-agnostic counting"
"ConCoNet","ConCoNet: Class-Agnostic Counting with Positive and Negative Exemplars","Pattern Recognition Letters","2023","Class-agnostic Counting;Exemplar-based Counting","https://doi.org/10.1016/j.patrec.2023.04.018","","no","verified","2026-08-10","Positive and negative exemplar counting"
"CountBench","Teaching CLIP to Count to Ten","ICCV","2023","MLLM-based Counting","https://openaccess.thecvf.com/content/ICCV2023/html/Paiss_Teaching_CLIP_to_Count_to_Ten_ICCV_2023_paper.html","","no","verified","2026-08-10","Introduced CountBench and studied counting representations"
"CrowdCLIP","CrowdCLIP: Unsupervised Crowd Counting via Vision-Language Model","CVPR","2023","Class-specific Counting;MLLM-based Counting","https://openaccess.thecvf.com/content/CVPR2023/html/Liang_CrowdCLIP_Unsupervised_Crowd_Counting_via_Vision-Language_Model_CVPR_2023_paper.html","https://github.com/dk-liang/CrowdCLIP","no","verified","2026-08-10","Unsupervised crowd counting with CLIP"
"PET","Point-Query Quadtree for Crowd Counting Localization and More","ICCV","2023","Class-specific Counting","https://openaccess.thecvf.com/content/ICCV2023/html/Liu_Point-Query_Quadtree_for_Crowd_Counting_Localization_and_More_ICCV_2023_paper.html","https://github.com/cxliu0/PET","no","verified","2026-08-10","Point-based crowd counting and localization"
"AWCC-Net","Counting Crowds in Bad Weather","ICCV","2023","Class-specific Counting","https://openaccess.thecvf.com/content/ICCV2023/html/Huang_Counting_Crowds_in_Bad_Weather_ICCV_2023_paper.html","","no","verified","2026-08-10","Crowd counting under adverse weather"
"Crowd-Hat","Boosting Detection in Crowd Analysis via Underutilized Output Features","CVPR","2023","Class-specific Counting","https://openaccess.thecvf.com/content/CVPR2023/html/Wu_Boosting_Detection_in_Crowd_Analysis_via_Underutilized_Output_Features_CVPR_2023_paper.html","https://github.com/wskingdom/Crowd-Hat","no","verified","2026-08-10","Crowd counting localization and detection"
"STEERER","STEERER: Resolving Scale Variations for Counting and Localization via Selective Inheritance Learning","ICCV","2023","Class-specific Counting","https://openaccess.thecvf.com/content/ICCV2023/html/Han_STEERER_Resolving_Scale_Variations_for_Counting_and_Localization_via_Selective_ICCV_2023_paper.html","https://github.com/taohan10200/STEERER","no","verified","2026-08-10","Multi-domain class-specific counting and localization"
"FRVCC","Frame-Recurrent Video Crowd Counting","IEEE TCSVT","2023","Class-specific Counting;Video Object Counting","https://doi.org/10.1109/TCSVT.2023.3250946","","no","verified","2026-08-10","Frame-level video crowd counting"
"ABC123","ABC Easy as 123: A Blind Counter for Exemplar-Free Multi-Class Class-Agnostic Counting","ECCV","2024","Class-agnostic Counting","https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/01761.pdf","","no","verified","2026-08-10","Exemplar-free multi-class counting; introduced the synthetic MCAC dataset"
"CACViT","Vision Transformer Off-the-Shelf: A Surprising Baseline for Few-Shot Class-Agnostic Counting","AAAI","2024","Class-agnostic Counting;Exemplar-based Counting","https://ojs.aaai.org/index.php/AAAI/article/view/28396","","no","verified","2026-08-10","ViT baseline for few-shot CAC"
"VLCounter","VLCounter: Text-Aware Visual Representation for Zero-Shot Object Counting","AAAI","2024","Class-agnostic Counting;Open-vocabulary Counting;MLLM-based Counting","https://ojs.aaai.org/index.php/AAAI/article/view/28050","https://github.com/Seunggu0305/VLCounter","no","verified","2026-08-10","Text-aware zero-shot counting"
"PseCo","Point Segment and Count: A Generalized Framework for Object Counting","CVPR","2024","Class-agnostic Counting;Exemplar-based Counting;Open-vocabulary Counting","https://openaccess.thecvf.com/content/CVPR2024/html/Huang_Point_Segment_and_Count_A_Generalized_Framework_for_Object_Counting_CVPR_2024_paper.html","https://github.com/Hzzone/PseCo","no","verified","2026-08-10","Unified few-shot and zero-shot counting"
"GroundingREC","Referring Expression Counting","CVPR","2024","Class-agnostic Counting;Open-vocabulary Counting","https://openaccess.thecvf.com/content/CVPR2024/html/Dai_Referring_Expression_Counting_CVPR_2024_paper.html","https://github.com/sydai/referring-expression-counting","no","verified","2026-08-10","Referring-expression counting and REC-8K"
"DAVE","DAVE: A Detect-and-Verify Paradigm for Low-Shot Counting","CVPR","2024","Class-agnostic Counting;Exemplar-based Counting;Open-vocabulary Counting","https://openaccess.thecvf.com/content/CVPR2024/html/Pelhan_DAVE_-_A_Detect-and-Verify_Paradigm_for_Low-Shot_Counting_CVPR_2024_paper.html","https://github.com/jerpelhan/DAVE","no","verified","2026-08-10","Detection-based low-shot counting"
"CountGD","CountGD: Multi-Modal Open-World Counting","NeurIPS","2024","Class-agnostic Counting;Exemplar-based Counting;Open-vocabulary Counting;MLLM-based Counting","https://proceedings.neurips.cc/paper_files/paper/2024/hash/57c56985d9afe89bf78a8264c91071aa-Abstract-Conference.html","https://github.com/niki-amini-naieni/CountGD","yes","verified","2026-08-10","Text and visual-prompt open-world counting"
"GeCo","A Novel Unified Architecture for Low-Shot Counting by Detection and Segmentation","NeurIPS","2024","Class-agnostic Counting;Exemplar-based Counting","https://arxiv.org/abs/2409.18686","https://github.com/jerpelhan/GeCo","yes","verified","2026-08-10","Unified low-shot detection segmentation and counting"
"CountDiff","Class-Agnostic Object Counting with Text-to-Image Diffusion Model","ECCV","2024","Class-agnostic Counting;Exemplar-based Counting;Open-vocabulary Counting","https://www.ecva.net/papers/eccv_2024/papers_ECCV/html/8663_ECCV_2024_paper.php","","no","verified","2026-08-10","Diffusion-based class-agnostic counting"
"VA-Count","Zero-Shot Object Counting with Good Exemplars","ECCV","2024","Class-agnostic Counting;Open-vocabulary Counting","https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00812.pdf","","no","verified","2026-08-10","Automatically selects exemplars from text"
"MGCAC","A Recipe for CAC: Mosaic-Based Generalized Loss for Improved Class-Agnostic Counting","ACCV","2024","Class-agnostic Counting;Exemplar-based Counting","https://openaccess.thecvf.com/content/ACCV2024/html/Chou_A_Recipe_for_CAC_Mosaic-based_Generalized_Loss_for_Improved_Class-Agnostic_ACCV_2024_paper.html","https://github.com/littlepenguin89106/MGCAC","no","verified","2026-08-10","Mosaic-based generalized loss"
"TFCounter","TFCounter: Polishing Gems for Training-Free Object Counting","arXiv","2024","Class-agnostic Counting;Exemplar-based Counting","https://arxiv.org/abs/2405.02301","","no","verified","2026-08-10","arXiv preprint; training-free counting"
"SATCount","SATCount: A Scale-Aware Transformer-Based Class-Agnostic Counting Framework","Neural Networks","2024","Class-agnostic Counting;Exemplar-based Counting","https://www.sciencedirect.com/science/article/pii/S089360802400042X","","no","verified","2026-08-10","Scale-aware transformer counter"
"TFPOC","Training-Free Object Counting with Prompts","WACV","2024","Class-agnostic Counting;Exemplar-based Counting","https://openaccess.thecvf.com/content/WACV2024/html/Shi_Training-Free_Object_Counting_With_Prompts_WACV_2024_paper.html","https://github.com/shizenglin/training-free-object-counter","no","verified","2026-08-10","Training-free prompt-based counting"
"UPC","A Fixed-Point Approach to Unified Prompt-Based Counting","AAAI","2024","Class-agnostic Counting;Exemplar-based Counting","https://arxiv.org/abs/2403.10236","","no","verified","2026-08-10","Unified prompt-based counting"
"SelfCollages","Learning to Count without Annotations","CVPR","2024","Class-agnostic Counting","https://doi.org/10.1109/CVPR52733.2024.02163","https://github.com/lukasknobel/SelfCollages","no","verified","2026-08-10","Annotation-free counting with self-collages"
"MPCount","Single Domain Generalization for Crowd Counting","CVPR","2024","Class-specific Counting","https://openaccess.thecvf.com/content/CVPR2024/html/Peng_Single_Domain_Generalization_for_Crowd_Counting_CVPR_2024_paper.html","https://github.com/Shimmer93/MPCount","no","verified","2026-08-10","Crowd-counting domain generalization"
"mPrompt","Regressor-Segmenter Mutual Prompt Learning for Crowd Counting","CVPR","2024","Class-specific Counting","https://openaccess.thecvf.com/content/CVPR2024/html/Guo_Regressor-Segmenter_Mutual_Prompt_Learning_for_Crowd_Counting_CVPR_2024_paper.html","https://github.com/csguomy/mPrompt","no","verified","2026-08-10","Model-internal prompt learning; not user text prompting"
"CrowdDiff","CrowdDiff: Multi-hypothesis Crowd Density Estimation using Diffusion Models","CVPR","2024","Class-specific Counting","https://openaccess.thecvf.com/content/CVPR2024/html/Ranasinghe_CrowdDiff_Multi-hypothesis_Crowd_Density_Estimation_using_Diffusion_Models_CVPR_2024_paper.html","https://dylran.github.io/crowddiff.github.io/","no","verified","2026-08-10","Diffusion-based crowd density estimation"
"CeDiRNet","Dense Center-Direction Regression for Object Counting and Localization with Point Supervision","Pattern Recognition","2024","Class-specific Counting","https://arxiv.org/abs/2408.14457","https://github.com/vicoslab/CeDiRNet","no","verified","2026-08-10","General point-supervised counting and localization"
"TFCAC","A Simple-but-Effective Baseline for Training-Free Class-Agnostic Counting","WACV","2025","Class-agnostic Counting;Exemplar-based Counting","https://openaccess.thecvf.com/content/WACV2025/html/Lin_A_Simple-but-Effective_Baseline_for_Training-Free_Class-Agnostic_Counting_WACV_2025_paper.html","","no","verified","2026-08-10","Training-free CAC baseline"
"PrACo","Mind the Prompt: A Novel Benchmark for Prompt-Based Class-Agnostic Counting","WACV","2025","Class-agnostic Counting;Exemplar-based Counting;Open-vocabulary Counting","https://openaccess.thecvf.com/content/WACV2025/html/Ciampi_Mind_the_Prompt_A_Novel_Benchmark_for_Prompt-Based_Class-Agnostic_Counting_WACV_2025_paper.html","https://github.com/ciampluca/PrACo","no","verified","2026-08-10","Prompt-grounding benchmark"
"PLS-Count","Learning to Count from Pseudo-Labeled Segmentation","WACV","2025","Class-agnostic Counting;Exemplar-based Counting","https://openaccess.thecvf.com/content/WACV2025/papers/Xu_Learning_to_Count_from_Pseudo-Labeled_Segmentation_WACV_2025_paper.pdf","","no","verified","2026-08-10","Pseudo-labeled segmentation for CAC"
"T2ICount","T2ICount: Enhancing Cross-Modal Understanding for Zero-Shot Counting","CVPR","2025","Class-agnostic Counting;Open-vocabulary Counting;MLLM-based Counting","https://openaccess.thecvf.com/content/CVPR2025/html/Qian_T2ICount_Enhancing_Cross-modal_Understanding_for_Zero-Shot_Counting_CVPR_2025_paper.html","https://github.com/cha15yq/T2ICount","yes","verified","2026-08-10","Diffusion features for text-guided counting"
"URM","Single Domain Generalization for Few-Shot Counting via Universal Representation Matching","CVPR","2025","Class-agnostic Counting;Exemplar-based Counting","https://openaccess.thecvf.com/content/CVPR2025/html/Chen_Single_Domain_Generalization_for_Few-Shot_Counting_via_Universal_Representation_Matching_CVPR_2025_paper.html","https://github.com/jbr97/URM","no","verified","2026-08-10","Few-shot counting domain generalization"
"CountSE","CountSE: Soft Exemplar Open-Set Object Counting","ICCV","2025","Class-agnostic Counting;Open-vocabulary Counting","https://openaccess.thecvf.com/content/ICCV2025/html/Liu_CountSE_Soft_Exemplar_Open-set_Object_Counting_ICCV_2025_paper.html","https://github.com/pppppz22/CountSE","no","verified","2026-08-10","Text-guided soft-exemplar selection"
"LGCount","Enhancing Zero-Shot Object Counting via Text-Guided Local Ranking and Number-Evoked Global Attention","ICCV","2025","Class-agnostic Counting;Open-vocabulary Counting","https://openaccess.thecvf.com/content/ICCV2025/html/Zhang_Enhancing_Zero-shot_Object_Counting_via_Text-guided_Local_Ranking_and_Number-evoked_ICCV_2025_paper.html","https://github.com/zaqai/LGCount","no","verified","2026-08-10","Introduced ZSC-8K"
"YOLO-Count","YOLO-Count: Differentiable Object Counting for Text-to-Image Generation","ICCV","2025","Open-vocabulary Counting","https://openaccess.thecvf.com/content/ICCV2025/html/Zeng_YOLO-Count_Differentiable_Object_Counting_for_Text-to-Image_Generation_ICCV_2025_paper.html","","no","verified","2026-08-10","Includes a genuine open-vocabulary counter; cross-task with T2I"
"FocalCount","FocalCount: Towards Class-Count Imbalance in Class-Agnostic Counting","arXiv","2025","Class-agnostic Counting;Exemplar-based Counting;Open-vocabulary Counting","https://arxiv.org/abs/2502.10677","","no","verified","2026-08-10","arXiv preprint"
"QUANet","Text-Promptable Object Counting via Quantity Awareness Enhancement","arXiv","2025","Class-agnostic Counting;Open-vocabulary Counting","https://arxiv.org/abs/2507.06679","https://github.com/viscom-tongji/QUANet","no","verified","2026-08-10","arXiv preprint"
"CountZES","CountZES: Counting via Zero-Shot Exemplar Selection","arXiv","2025","Class-agnostic Counting;Open-vocabulary Counting","https://arxiv.org/abs/2512.16415","","no","verified","2026-08-10","arXiv preprint; training-free exemplar selection"
"CountOCC","Counting Through Occlusion: Framework for Open World Amodal Counting","arXiv","2025","Class-agnostic Counting;Exemplar-based Counting;Open-vocabulary Counting","https://arxiv.org/abs/2511.12702","","no","verified","2026-08-10","arXiv preprint; amodal counting"
"SDVPT","SDVPT: Semantic-Driven Visual Prompt Tuning for Open-World Object Counting","arXiv","2025","Class-agnostic Counting;Exemplar-based Counting;Open-vocabulary Counting","https://arxiv.org/abs/2504.17395","","no","verified","2026-08-10","arXiv preprint"
"RichCount","Expanding Zero-Shot Object Counting with Rich Prompts","arXiv","2025","Class-agnostic Counting;Open-vocabulary Counting","https://arxiv.org/abs/2505.15398","","no","verified","2026-08-10","arXiv preprint"
"FiGO","FiGO: Fine-Grained Object Counting without Annotations","arXiv","2025","Class-agnostic Counting","https://arxiv.org/abs/2504.11705","","no","verified","2026-08-10","arXiv preprint; fine-grained counting"
"VQCounter","VQCounter: Designing Visual Prompt Queue for Accurate Open-World Counting","IJCAI","2025","Class-agnostic Counting;Exemplar-based Counting;Open-vocabulary Counting","https://www.ijcai.org/proceedings/2025/252","","no","verified","2026-08-10","Open-world counting with visual prompt queue"
"CACAL","Counting with Ease: Class-Agnostic Counting via One-Shot Detection across Diverse Domains","Neural Networks","2025","Class-agnostic Counting;Exemplar-based Counting","https://www.sciencedirect.com/science/article/pii/S0893608025008421","https://github.com/imMid-Star/CACAL","no","verified","2026-08-10","One-shot counting and localization"
"PairTally","Can Current AI Models Count What We Mean, Not What They See? A Benchmark and Systematic Evaluation","arXiv","2025","Class-agnostic Counting;Exemplar-based Counting;Open-vocabulary Counting;MLLM-based Counting","https://arxiv.org/abs/2509.13939","","no","verified","2026-08-10","Introduced PairTally for fine-grained selective counting in paired-category scenes"
"CAPTURe","CAPTURe: Evaluating Spatial Reasoning in Vision Language Models via Occluded Object Counting","ICCV","2025","MLLM-based Counting","https://openaccess.thecvf.com/content/ICCV2025/html/Pothiraj_CAPTURE_Evaluating_Spatial_Reasoning_in_Vision_Language_Models_via_Occluded_ICCV_2025_paper.html","https://github.com/atinpothiraj/CAPTURe","no","verified","2026-08-10","Benchmark for occluded object counting"
"TrueCount","TrueCount: Improving Open-World Object Counting with Visual-Language Models and Dynamic Multi-Modal Inputs","ACM MM","2025","Class-agnostic Counting;Open-vocabulary Counting;MLLM-based Counting","https://doi.org/10.1145/3746027.3755426","","no","verified","2026-08-10","Open-world multimodal counting"
"CountQA","CountQA: How Well Do MLLMs Count in the Wild?","arXiv","2025","MLLM-based Counting","https://arxiv.org/abs/2508.06585","","no","verified","2026-08-10","arXiv benchmark for real-world MLLM counting"
"E-MAC","Efficient Masked AutoEncoder for Video Object Counting and A Large-Scale Benchmark","ICLR","2025","Video Object Counting","https://openreview.net/forum?id=sY3anJ8C68","https://github.com/mast1ren/E-MAC","no","verified","2026-08-10","Video counting and DroneBird benchmark"
"SDNet","Video Individual Counting for Moving Drones","ICCV","2025","Class-specific Counting;Video Object Counting","https://openaccess.thecvf.com/content/ICCV2025/html/Fan_Video_Individual_Counting_for_Moving_Drones_ICCV_2025_paper.html","https://github.com/fyw1999/MovingDroneCrowd","no","verified","2026-08-10","Unique-individual counting from moving drones"
"AV-Reasoner","AV-Reasoner: Improving and Benchmarking Clue-Grounded Audio-Visual Counting for MLLMs","arXiv","2025","MLLM-based Counting;Video Object Counting","https://arxiv.org/abs/2506.05328","https://github.com/AV-Reasoner/AV-Reasoner","no","verified","2026-08-10","arXiv audio-visual counting benchmark"
"3DC","Counting Stacked Objects","ICCV","2025","Class-specific Counting","https://openaccess.thecvf.com/content/ICCV2025/html/Dumery_Counting_Stacked_Objects_ICCV_2025_paper.html","https://corentindumery.github.io/projects/stacks.html","no","verified","2026-08-10","Industrial multi-view hidden-object counting; ICCV oral"
"Free Lunch","Free Lunch Enhancements for Multi-Modal Crowd Counting","CVPR","2025","Class-specific Counting","https://openaccess.thecvf.com/content/CVPR2025/html/Meng_Free_Lunch_Enhancements_for_Multi-modal_Crowd_Counting_CVPR_2025_paper.html","https://github.com/HenryCilence/Free-Lunch-Multimodal-Counting","no","verified","2026-08-10","Multi-sensor crowd counting"
"P2R","Point-to-Region Loss for Semi-Supervised Point-Based Crowd Counting","CVPR","2025","Class-specific Counting","https://openaccess.thecvf.com/content/CVPR2025/html/Lin_Point-to-Region_Loss_for_Semi-Supervised_Point-Based_Crowd_Counting_CVPR_2025_paper.html","https://github.com/Elin24/P2RLoss","no","verified","2026-08-10","Semi-supervised point-based crowd counting"
"CountGD++","CountGD++: Generalized Prompting for Open-World Counting","CVPR","2026","Class-agnostic Counting;Exemplar-based Counting;Open-vocabulary Counting;MLLM-based Counting","https://openaccess.thecvf.com/content/CVPR2026/html/Amini-Naieni_CountGD_Generalized_Prompting_for_Open-World_Counting_CVPR_2026_paper.html","https://github.com/niki-amini-naieni/CountGDPlusPlus","yes","verified","2026-08-10","Positive negative and external prompts for open-world counting"
"QICA","Boosting Quantitive and Spatial Awareness for Zero-Shot Object Counting","CVPR","2026","Class-agnostic Counting;Open-vocabulary Counting","https://arxiv.org/abs/2603.16129","","no","verified","2026-08-10","CVPR 2026; title preserves authors' spelling"
"Count Anything","Count Anything","arXiv","2026","Class-agnostic Counting;Open-vocabulary Counting","https://arxiv.org/abs/2605.30846","https://github.com/Mengqi-Lei/count-anything","yes","verified","2026-08-10","Cross-domain point-based counting and CLOC"
