name,year,tasks,modality,domain,size,categories,annotations,paper_url,homepage_url,download_url,license,status,verified_on,notes
GCC,2019,class-specific counting;crowd counting;synthetic-to-real adaptation,synthetic image,crowd,"15,212 images;7,625,843 people",1,head points;density/count metadata;scene and camera attributes,https://openaccess.thecvf.com/content_CVPR_2019/html/Wang_Learning_From_Synthetic_Data_for_Crowd_Counting_in_the_Wild_CVPR_2019_paper.html,https://gjy3035.github.io/GCC-CL/,https://gjy3035.github.io/GCC-CL/,unknown,verified,2026-08-10,Synthetic GTA-V-based crowd dataset; should be marked synthetic in comparisons.
SKU-110K,2019,dense object detection;dense counting,retail shelf image,retail;industrial-adjacent,"11,762 images;about 1.73M object instances",1 generic SKU-object target in standard benchmark,axis-aligned boxes;counts derivable,https://openaccess.thecvf.com/content_CVPR_2019/html/Goldman_Precise_Detection_in_Densely_Packed_Scenes_CVPR_2019_paper.html,https://github.com/eg4000/SKU110K_CVPR19,https://github.com/eg4000/SKU110K_CVPR19,unknown,verified,2026-08-10,Not a dedicated industrial-parts dataset; retained only as an adjacent dense repetitive-object benchmark.
TallyQA,2019,MLLM/VQA counting;simple and complex counting questions,image and text question,general scene,"165K source images;287,907 questions",open-ended answer space,question;integer answer;simple/complex flag;source IDs,https://arxiv.org/abs/1810.12440,https://www.manojacharya.com/tallyqa.html,https://github.com/manoja328/TallyQA_dataset,Apache-2.0 for released QA metadata/code; source images retain COCO/Visual Genome terms,verified,2026-08-10,"Includes 211,430 simple and 76,477 complex counting questions."
BCData,2020,cell detection;cell counting,histopathology image,histopathology,"1,338 images;about 181K cells",1,cell-center points;counts,https://doi.org/10.1007/978-3-030-59722-1_28,https://sites.google.com/view/bcdataset,https://sites.google.com/view/bcdataset,unknown,verified,2026-08-10,Dedicated large-scale cell detection and counting dataset.
JHU-CROWD++,2020,class-specific counting;crowd counting;localization;robustness,image,crowd,"4,372 images;about 1.51M annotations",1,head points;approximate boxes;occlusion;blur;weather and illumination attributes,https://arxiv.org/abs/2004.03597,https://github.com/svishwa/crowd-counting,https://github.com/svishwa/crowd-counting,unknown,verified,2026-08-10,"Official author repository confirms 4,372 images and about 1.51M dot annotations."
MoNuSAC,2020,multi-organ nuclei segmentation;classification;counting,histopathology image,histopathology,209 images from 46 patients,4 nucleus/cell classes,instance masks;class labels,https://doi.org/10.1109/TMI.2021.3085712,https://monusac-2020.grand-challenge.org/Data/,https://monusac-2020.grand-challenge.org/Data/,challenge terms; exact license unknown,verified,2026-08-10,Multi-organ and multi-class; retain patient grouping and source splits.
NWPU-Crowd,2020,class-specific counting;crowd counting;localization,image,crowd,"5,109 images;2,133,375 heads",1,head points;head boxes;negative images,https://arxiv.org/abs/2001.03360,https://gjy3035.github.io/NWPU-Crowd-Sample-Code/,https://gjy3035.github.io/NWPU-Crowd-Sample-Code/,unknown,verified,2026-08-10,Official project confirms point and box labels and 351 negative images.
AGAR,2021,microbial colony detection;classification;counting,agar-plate image,microbiology,"18,000 images;about 336K colonies",5 microbial classes,boxes;class labels;counts,https://arxiv.org/abs/2108.01234,,,unknown,verified,2026-08-10,Contains real and synthetic agar-plate images. OpenDataLab is a mirror and is intentionally not recorded as the official homepage.
DroneCrowd,2021,class-specific counting;video crowd counting;localization;tracking,video,crowd;drone,"112 clips;33,600 HD frames;4.8M head annotations;20,800 trajectories",1,head points;track identities;trajectories;video-level attributes,https://arxiv.org/abs/2105.02440,,,unknown,verified,2026-08-10,Counting localization and tracking are explicit benchmark tasks. OpenDataLab hosts a mirror but is not recorded as the official homepage.
FSC-147,2021,class-agnostic counting;few-shot counting;exemplar-based counting,image,general scene,"6,135 images;343,818 object instances",147,center points;3 exemplar boxes per image;counts,https://openaccess.thecvf.com/content/CVPR2021/html/Ranjan_Learning_To_Count_Everything_CVPR_2021_paper.html,https://github.com/cvlab-stonybrook/LearningToCountEverything,https://github.com/cvlab-stonybrook/LearningToCountEverything,unknown,verified,2026-08-10,Canonical few-shot class-agnostic benchmark; train validation and test categories are disjoint.
GWHD 2021,2021,wheat-head detection;counting;domain generalization,field image,agriculture,"6,515 images;about 275K wheat heads",1 wheat-head category,axis-aligned boxes;domain/location metadata,https://doi.org/10.34133/2020/3521852,https://www.global-wheat.com/,https://www.global-wheat.com/,dataset terms; exact license unknown,verified,2026-08-10,Expanded 2021 release; preserve acquisition-domain identifiers.
LIVECell,2021,cell instance segmentation;cell counting,phase-contrast microscopy image,cellular microscopy,"5,239 images;over 1.6M cells",8 cell lines,instance masks;polygons;boxes,https://doi.org/10.1038/s41592-021-01249-6,https://sartorius-research.github.io/LIVECell/,https://sartorius-research.github.io/LIVECell/,unknown,verified,2026-08-10,Originally an instance-segmentation dataset; counting uses exhaustive instances and should be labelled as a converted benchmark.
Lizard,2021,nuclear instance segmentation;classification;counting,histopathology image,histopathology,291 image regions;about 495K nuclei,6 nucleus classes,instance masks;class labels;centroids,https://openaccess.thecvf.com/content/ICCV2021W/CDPath/papers/Graham_Lizard_A_Large-Scale_Dataset_for_Colonic_Nuclear_Instance_Segmentation_and_ICCVW_2021_paper.pdf,https://warwick.ac.uk/fac/cross_fac/tia/data/lizard/,https://warwick.ac.uk/fac/cross_fac/tia/data/lizard/,unknown,verified,2026-08-10,Colonic histology benchmark; counting is obtained from exhaustive nuclei instances.
NuCLS,2021,nucleus detection;classification;counting,histopathology ROI,histopathology,"1,744 ROIs;over 220K nuclei",unknown,boxes;polygons;class labels;observer annotations,https://arxiv.org/abs/2102.09099,https://sites.google.com/view/nucls,https://sites.google.com/view/nucls,unknown,candidate,2026-08-10,The official class ontology is richer than a cell/non-cell split; consolidated category count remains unverified.
CoNIC,2022,multi-class nuclei segmentation;classification;counting,histopathology image patch,histopathology,"4,981 image patches;about 432K nuclei",6 nucleus classes,instance masks;centroids;class labels,https://arxiv.org/abs/2111.14485,https://conic-challenge.grand-challenge.org/,https://conic-challenge.grand-challenge.org/,challenge terms; exact license unknown,verified,2026-08-10,Counting is derivable from exhaustive class-labelled instances.
FSCD-147,2022,few-shot object counting and detection,image with visual exemplars,general scene,"6,135 images; exhaustive boxes added for validation and test",147,points;three exemplar boxes;target bounding boxes on validation/test;counts,https://www.ecva.net/papers/eccv_2022/papers_ECCV/papers/136800336.pdf,https://github.com/VinAIResearch/Counting-DETR,https://github.com/VinAIResearch/Counting-DETR,inherits FSC-147/source-image terms,verified,2026-08-10,Detection extension of FSC-147; distinct from the LVIS-derived FSCD-LVIS dataset.
FSCD-LVIS,2022,few-shot object counting and detection;class-agnostic counting,image,general scene,"6,195 images;at least 220.7K instances",372,center points;exemplar boxes;target boxes,https://www.ecva.net/papers/eccv_2022/papers_ECCV/papers/136800336.pdf,https://github.com/VinAIResearch/Counting-DETR,https://github.com/VinAIResearch/Counting-DETR,inherits LVIS/source-image restrictions; exact derived-data license unknown,verified,2026-08-10,Distinct from FSCD-147; this is the larger-vocabulary LVIS-derived benchmark.
CountBench,2023,VLM/MLLM numerosity evaluation;image-text counting,image and caption,general scene,540 image-text examples,unknown object vocabulary;counts 2-10,caption;object phrase;integer count,https://openaccess.thecvf.com/content/ICCV2023/html/Paiss_Teaching_CLIP_to_Count_to_Ten_ICCV_2023_paper.html,,,unknown,verified,2026-08-10,Curated from LAION-400M URLs; some URLs are now inaccessible and no stable first-party image archive was confirmed.
FSC-147-D,2023,text-specified open-world counting,image and natural-language description,general scene,"same 6,135 images as FSC-147",147,natural-language target descriptions;original FSC-147 points/boxes/counts,https://arxiv.org/abs/2306.01851,https://www.robots.ox.ac.uk/~vgg/research/countx/,https://github.com/niki-amini-naieni/CounTX,inherits FSC-147/source-image terms,verified,2026-08-10,CounTX corrects ambiguous class names and converts them to natural-language responses specifying what to count.
IOCfish5K,2023,indiscernible object counting;fish counting;localization,underwater image,wildlife;underwater,"5,637 images;659,024 fish instances",1 fish target,point annotations;counts,https://openaccess.thecvf.com/content/CVPR2023/html/Sun_Indiscernible_Object_Counting_in_Underwater_Scenes_CVPR_2023_paper.html,,,unknown,verified,2026-08-10,Dedicated dense and visually indiscernible fish-counting benchmark; no reliable separate first-party download page was confirmed.
CountBenchQA,2024,MLLM/VQA counting evaluation,image and text question,general scene,491 currently packaged images from the original 540 CountBench entries,unknown object vocabulary;counts 2-10,manually generated question;integer answer,https://arxiv.org/abs/2407.07726,https://github.com/google-research/big_vision/tree/main/big_vision/datasets/countbenchqa,https://github.com/google-research/big_vision/tree/main/big_vision/datasets/countbenchqa,Apache-2.0 for Google code/metadata; image rights remain source-dependent,verified,2026-08-10,VQA reformulation of CountBench; distinguish 491 currently accessible images from 540 original records.
MCAC,2024,multi-class class-agnostic counting;exemplar-free counting,synthetic image,general synthetic scene,"9,283 images;16,224 class-count records",343,center points;boxes;instance/class/model IDs;occlusion percentage;counts,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/01761.pdf,https://mcac.active.vision/,https://mcac.active.vision/,unknown,verified,2026-08-10,Each image contains 1-4 categories; train/validation/test categories are disjoint; MCAC-M1 is the single-class subset.
NWPU-MOC,2024,fine-grained multi-category object counting,RGB and infrared image,remote sensing,unknown,14 folders/classes visible in official release,JSON instance annotations;density/count ground truth,https://doi.org/10.1109/TGRS.2024.3356492,https://github.com/lyongo/NWPU-MOC,https://github.com/lyongo/NWPU-MOC,unknown,candidate,2026-08-10,Official repository confirms RGB/IR inputs and 14 category folders; total image and instance counts remain unverified.
PixMo-Count,2024,MLLM counting;pointing;visual grounding,image URL and text label,general scene,"36,916 train records;540 validation;540 test;URLs may repeat",unknown,object label;integer count;training-set points;image SHA-256,https://openaccess.thecvf.com/content/CVPR2025/html/Deitke_Molmo_and_PixMo_Open_Weights_and_Open_Data_for_State-of-the-Art_CVPR_2025_paper.html,https://huggingface.co/datasets/allenai/pixmo-count,https://huggingface.co/datasets/allenai/pixmo-count,ODC-BY-1.0,verified,2026-08-10,Validation and test are human verified and cover counts 2-10; images are referenced by URLs.
UpCount,2024,crowd counting;people localization;drone counting,drone image,crowd;remote sensing,unknown,1,point annotations,https://arxiv.org/abs/2502.04014,https://zenodo.org/records/12683104,https://zenodo.org/records/12683104/files/images.zip?download=1,unknown,candidate,2026-08-10,Official Zenodo image archive is available; exact sample and annotation totals remain unverified.
3D Counting Dataset,2025,stacked-object counting;hidden-object counting;3D reconstruction,multi-view RGB image;synthetic 3D scene,industrial;containers;stacked products,"400,000 synthetic images from 14,000 scenes;45 real scenes",unknown object types,ground-truth counts;3D meshes;volume occupancy;camera geometry,https://openaccess.thecvf.com/content/ICCV2025/html/Dumery_Counting_Stacked_Objects_ICCV_2025_paper.html,https://corentindumery.github.io/projects/stacks.html,https://corentindumery.github.io/projects/stacks.html,unknown,verified,2026-08-10,Includes 3DC-Synthetic and 3DC-Real; counts visible and hidden objects in irregular stacks.
CAPTURe,2025,amodal object counting;spatial reasoning;MLLM evaluation,synthetic and real image with question,occluded patterned scenes,"2,212 released records across real and synthetic splits",unknown,image;occluder;counting question;integer answer;pattern metadata,https://openaccess.thecvf.com/content/ICCV2025/html/Pothiraj_CAPTURE_Evaluating_Spatial_Reasoning_in_Vision_Language_Models_via_Occluded_ICCV_2025_paper.html,https://github.com/atinpothiraj/CAPTURe,https://huggingface.co/datasets/atinp/CAPTURe,MIT,verified,2026-08-10,Released-record count verified through the Hugging Face dataset server; benchmark includes CAPTURe-Synthetic and CAPTURe-Real.
CARPK-OCC,2025,amodal vehicle counting;occlusion robustness,occlusion-augmented image with prompt,vehicle;parking lots,derived from CARPK; exact released size unknown,1 car target,original boxes/counts plus synthetic occluders and occlusion metadata,https://arxiv.org/abs/2511.12702,,,inherits CARPK/source-image terms,candidate,2026-08-10,CountOCC evaluation variant; keep separate from the unmodified CARPK benchmark.
CG-AV-Counting,2025,audio-visual counting;clue-grounded reasoning;MLLM evaluation,long video;audio;question,general long-form video,"497 long videos;1,027 questions;5,845 annotated clues",open event/object vocabulary,question;answer;temporal visual/audio clues;reasoning evidence,https://arxiv.org/abs/2506.05328,https://av-reasoner.github.io/,https://github.com/AV-Reasoner/AV-Reasoner,unknown,verified,2026-08-10,Supports black-box answer evaluation and white-box clue-grounded evaluation.
CountQA,2025,MLLM/VQA counting;dense real-world counting,image and text question,general real-world scenes,"1,001 released image records; over 1,500 QA pairs",open object vocabulary,questions;answers;object labels;scene categories;focused flag,https://arxiv.org/abs/2508.06585,https://research.google/pubs/countqa-how-well-do-mllms-count-in-the-wild/,https://huggingface.co/datasets/Jayant-Sravan/CountQA,CC BY 4.0,verified,2026-08-10,"Paper reports over 1,500 QA pairs; current official package exposes 1,001 rows, so both quantities are retained."
DroneBird,2025,video object counting;bird counting;trajectory-aware counting,drone video,wildlife;natural scenes,"50 videos;about 21,500 benchmark frames",1 bird target,point annotations;density maps;trajectory annotations,https://openreview.net/forum?id=sY3anJ8C68,https://github.com/mast1ren/E-MAC,https://github.com/mast1ren/E-MAC,unknown,verified,2026-08-10,Introduced by E-MAC; split uses 40 clips of 500 frames and 10 validation clips of 150 frames.
FSC-147-OCC,2025,amodal counting;occlusion-robust class-agnostic counting,occlusion-augmented image with text/exemplar prompt,general scene,derived from FSC-147; exact released size unknown,147 inherited categories,original points/counts plus synthetic occluders and occlusion metadata,https://arxiv.org/abs/2511.12702,,,inherits FSC-147/source-image terms,candidate,2026-08-10,CountOCC evaluation variant; no stable public release link or exact generated-corpus size was confirmed.
LOCO,2025,class-agnostic counting and localization;one-shot counting,image plus query image,industrial;agriculture;daily life,unknown,unknown,point annotations;bounding boxes;counts,https://doi.org/10.1016/j.neunet.2025.107961,https://github.com/imMid-Star/CACAL,https://github.com/imMid-Star/CACAL,unknown,candidate,2026-08-10,"Official paper/repository confirms industrial, agricultural, and daily-life domains; numeric scale and dataset license were not confirmed."
MovingDroneCrowd,2025,video individual counting;crowd counting;tracking,moving-drone video,dense crowd;drone,"89 clips;4,940 frames;325,541 head boxes;16,154 tracklets",1 pedestrian category,head boxes;cross-frame identity IDs;inflow/outflow labels,https://openaccess.thecvf.com/content/ICCV2025/html/Fan_Video_Individual_Counting_for_Moving_Drones_ICCV_2025_paper.html,https://github.com/fyw1999/MovingDroneCrowd,https://github.com/fyw1999/MovingDroneCrowd,unknown,verified,2026-08-10,Captured by fast-moving drones; scene-level 70/10/20 train/validation/test split.
OmniCount-191,2025,open-vocabulary counting;multi-label counting;training-free counting;VQA counting,image and text,general scene,"30,230 images;302,300 instances",191,points;boxes;category counts;VQA annotations,https://ojs.aaai.org/index.php/AAAI/article/download/34151/36306,https://mondalanindya.github.io/OmniCount,https://huggingface.co/datasets/cvssp/OmniCount-191,OpenRAIL++-S,verified,2026-08-10,Supports several target categories per image.
PairTally,2025,fine-grained selective counting;intent-driven counting;MLLM and CAC evaluation,high-resolution image and text/exemplar prompts,paired-category scenes,681 images,98,category-specific counts;fine-grained positive/negative prompts;paired distractor categories,https://arxiv.org/abs/2509.13939,,,unknown,verified,2026-08-10,Each image contains two object categories; includes inter-category and visually similar intra-category settings.
PrACo,2025,prompt-grounding benchmark;open-vocabulary counting evaluation,image and text prompt,general scene,derived test suite over FSC-147; no independent image corpus,147 inherited FSC-147 categories,positive/negative prompts; positive-label and negative-label tests; prompt-aware metrics,https://openaccess.thecvf.com/content/WACV2025/html/Ciampi_Mind_the_Prompt_A_Novel_Benchmark_for_Prompt-Based_Class-Agnostic_Counting_WACV_2025_paper.html,https://github.com/ciampluca/PrACo,https://github.com/ciampluca/PrACo,inherits FSC-147/source-image terms,verified,2026-08-10,Benchmark protocol rather than a standalone image dataset; keep separate from ordinary MAE/RMSE rankings.
CLOC,2026,text-guided counting;open-vocabulary counting;cross-domain counting;instance-grounded counting,image and text query,general;remote sensing;histopathology;cellular microscopy;agriculture;microbiology,about 220K images;15.356M instances,619,unified points;source-dependent boxes/masks/polygons before conversion;text queries,https://arxiv.org/abs/2605.30846,https://mengqi-lei.github.io/count-anything-projectpage/,https://github.com/Mengqi-Lei/count-anything/tree/main/data,inherits all upstream licenses; no single image license,verified,2026-08-10,Complete images cannot be redistributed as one archive; annotations and rebuild instructions are released.
EC-Bench,2026,video enumeration;counting;temporal evidence grounding;MLLM evaluation,ultra-long video and text query,documentary;sports;news;TV;live;cartoon;academic,"152 videos longer than 30 minutes;1,699 queries",open event/entity vocabulary,enumerated instances;integer counts;explicit evidence spans,https://arxiv.org/abs/2603.29943,,,unknown,verified,2026-08-10,Median video duration 47 minutes; average about 57 minutes; includes six balanced reasoning categories.
GROC,2026,remote-sensing object counting;geo-guided reasoning;multimodal counting,RGB image;land-use/map geo-modalities,remote sensing,"about 14,000 images;about 1.2M point annotations",unknown,points;geospatial metadata;aligned auxiliary modalities,https://openaccess.thecvf.com/content/CVPR2026/html/Wang_See_What_We_Cannot_See_A_Geo-guided_Reasoning_Benchmark_for_CVPR_2026_paper.html,,,unknown,verified,2026-08-10,Designed for adverse earth-observation conditions; category count and a first-party download page were not stated on the CVF paper page.
HoloCount,2026,holistic visual counting;semantic and analytical reasoning;robustness testing,image and text question,general scene,"2,480 QA pairs","1,481 visual concepts",questions;integer answers;20 task labels;difficulty/robustness categories,https://arxiv.org/abs/2607.06420,https://mm-mvr.github.io/HoloCount/,https://github.com/MM-MVR/HoloCount,unknown,verified,2026-08-10,Official project reports 20 fine-grained subsets and a three-level taxonomy.
KubriCount,2026,multi-grained open-world counting;text-and-exemplar counting;synthetic counting,synthetic image and text/exemplar prompts,general synthetic scene,unknown,unknown,instance masks/locations;identity;attribute;type/category/concept granularity;positive and negative prompts,https://arxiv.org/abs/2605.10887,https://verg-avesta.github.io/KubriCount/,https://verg-avesta.github.io/KubriCount/,unknown,candidate,2026-08-10,Official project confirms the task and release; numeric scale and license remain unverified.
MixCount,2026,mixed-object counting;open-vocabulary counting;synthetic training and evaluation,synthetic image;multi-level text;visual exemplars,general;industrial inspection;product sorting,"58,100 scenes;over 4M instances","1,522",instance/class masks;boxes;counts;depth;normals;text descriptions;internal/external exemplars,https://arxiv.org/abs/2605.18063,https://corentindumery.github.io/projects/mixcount.html,https://huggingface.co/datasets/CorentinDumery/MixCount,CC BY 4.0,verified,2026-08-10,"Official dataset card reports 58K scenes, 1,522 classes, dense pixel-perfect labels, and mixed-object prompts."
MUCCA,2026,multi-category class-agnostic counting;semantic grounding,image and text prompt,general real-world scenes,200 real-world images,2-7 annotated categories per image,multi-category points/counts;text prompts,https://arxiv.org/abs/2605.02752,,,unknown,candidate,2026-08-10,"Paper confirms the new multi-category dataset; size and class-per-image range are reported in the paper, but a stable public download entry was not confirmed."
OCCAM Synthetic Multi-Class,2026,training-free multi-class counting evaluation,synthetic image,general synthetic scene,unknown,unknown,instance/class labels;per-class counts,https://arxiv.org/abs/2601.13871,https://mikespanak.github.io/OCCAM_counter,https://mikespanak.github.io/OCCAM_counter,unknown,candidate,2026-08-10,Paper announces a synthetic multi-class dataset; public release and exact scale were not confirmed.
PrACo++,2026,semantic-grounding benchmark;negative-label test;distractor test,image and text prompt,general scene,evaluation suite over existing counting datasets plus MUCCA,open vocabulary,positive/negative prompts;distractor composition;specialized grounding metrics,https://arxiv.org/abs/2605.02752,,,inherits component dataset terms,verified,2026-08-10,Protocol suite; its new standalone real-image dataset is recorded separately as MUCCA.
SVCBench,2026,streaming video counting;spatial-temporal state maintenance;MLLM evaluation,streaming video and text query,general dynamic scenes,unknown,unknown,streaming queries;state updates;counts;temporal evidence,https://arxiv.org/abs/2603.12703,https://buaa-colalab.github.io/SVCBench/,https://buaa-colalab.github.io/SVCBench/,unknown,candidate,2026-08-10,Official paper and project confirm the benchmark; numeric corpus scale was not verified in this pass.
TPC-268,2026,fine-grained plant counting;class-agnostic counting;taxonomy-aware evaluation,image,agriculture;botany;remote sensing;microscopy,"10,000 images;678,050 point annotations",268 countable categories over 242 plant species,points;Linnaean taxonomy;organ labels;scale-aware splits,https://openaccess.thecvf.com/content/CVPR2026/html/Xu_Plant_Taxonomy_Meets_Plant_Counting_A_Fine-Grained_Taxonomic_Dataset_for_CVPR_2026_paper.html,https://github.com/tiny-smart/TPC-268,https://huggingface.co/datasets/jinyu-xu/TPC-268,unknown,verified,2026-08-10,"Spans canopy-scale remote sensing through tissue-level microscopy, including Plantae and Fungi."
UNICBench,2026,unified multimodal counting;MLLM evaluation,image;text document;audio,general multimodal,"5,300 images / 5,508 image QA;872 documents / 5,888 text QA;2,069 audio clips / 2,905 audio QA",open vocabulary,questions;numeric answers;evidence-first ground truth;difficulty and capability tags,https://openaccess.thecvf.com/content/CVPR2026/html/Rong_UNICBench_UNIfied_Counting_Benchmark_for_MLLM_CVPR_2026_paper.html,,,unknown,verified,2026-08-10,Three-level Pattern/Semantic/Reasoning taxonomy with modality-specific matching rules.
VideoCount,2026,open-world video object counting;unique-instance counting;text/exemplar prompting;tracking,video and text/exemplar prompts,general;crowd;animal;materials,unknown,unknown,track identities;instance masks/boxes;video-level unique counts;text and visual prompts,https://www.robots.ox.ac.uk/~vgg/publications/2026/AminiNaieni26/,https://www.robots.ox.ac.uk/~vgg/research/countvid/,https://www.robots.ox.ac.uk/~vgg/research/countvid/,unknown,candidate,2026-08-10,Built from TAO MOT20 penguin and X-ray metal-alloy videos; numeric clip and category totals remain unverified.
