protocol,method,venue,year,prompt,training_setting,split,mae,rmse,source_url,source_location,status,verified_on,notes
text_only_standard_gt,T2ICount,CVPR,2025,text class name,FSC-147 training; Stable Diffusion v1.5 initialization; partial U-Net fine-tuning,FSC-147 test,11.76,97.86,https://openaccess.thecvf.com/content/CVPR2025/papers/Qian_T2ICount_Enhancing_Cross-modal_Understanding_for_Zero-Shot_Counting_CVPR_2025_paper.pdf,Table 1; paper p.25340 / PDF p.5,verified,2026-08-10,No manual visual exemplar.
text_only_standard_gt,CountSE,ICCV,2025,text only; internally generated soft exemplars,FSC-147 training; GroundingDINO-B; SES and CEF modules,FSC-147 test,7.84,82.99,https://openaccess.thecvf.com/content/ICCV2025/papers/Liu_CountSE_Soft_Exemplar_Open-set_Object_Counting_ICCV_2025_paper.pdf,Table 1; paper p.21540 / PDF p.5,verified,2026-08-10,User prompt remains text-only; model creates soft exemplars.
text_only_standard_gt,QICA-ViT-B/16,CVPR,2026,text class name,FSC-147 training; ViT-B/16; prompt tuning and counting decoder,FSC-147 test,13.05,104.17,https://openaccess.thecvf.com/content/CVPR2026/papers/Zhang_Boosting_Quantitive_and_Spatial_Awareness_for_Zero-Shot_Object_Counting_CVPR_2026_paper.pdf,Table 1,verified,2026-08-10,Keep separate from ViT-L/14.
text_only_standard_gt,QICA-ViT-L/14,CVPR,2026,text class name,FSC-147 training; ViT-L/14; prompt tuning and counting decoder,FSC-147 test,12.41,97.28,https://openaccess.thecvf.com/content/CVPR2026/papers/Zhang_Boosting_Quantitive_and_Spatial_Awareness_for_Zero-Shot_Object_Counting_CVPR_2026_paper.pdf,Table 1,verified,2026-08-10,Larger backbone result.
reference_less_no_user_prompt,CounTR-0shot,BMVC,2022,no exemplar and no text,self-supervised MAE pretraining; FSC-147 training; predicts dominant object class,FSC-147 test,14.12,108.01,https://www.robots.ox.ac.uk/~vgg/publications/2022/Liu22/liu22.pdf,Table 1; PDF p.9,verified,2026-08-10,Not open-vocabulary text counting.
reference_less_no_user_prompt,LOCA-0shot,ICCV,2023,no exemplar and no text,FSC-147 training; learned objectness queries,FSC-147 test,16.22,103.96,https://openaccess.thecvf.com/content/ICCV2023/papers/Dukic_A_Low-Shot_Object_Counting_Network_With_Iterative_Prototype_Adaptation_ICCV_2023_paper.pdf,Table 3; paper p.18876 / PDF p.6,verified,2026-08-10,Referenceless dominant-category counting.
reference_less_no_user_prompt,DAVE-0shot,CVPR,2024,no exemplar and no text,FSC-147 training; zero-shot DAVE variant,FSC-147 test,15.14,103.49,https://openaccess.thecvf.com/content/CVPR2024/papers/Pelhan_DAVE_-_A_Detect-and-Verify_Paradigm_for_Low-Shot_Counting_CVPR_2024_paper.pdf,Table 4; paper p.23297 / PDF p.6,verified,2026-08-10,Density/count output protocol.
multimodal_standard_gt,CountGD,NeurIPS,2024,3 visual exemplars plus text,FSC-147 training; frozen GroundingDINO encoders; trainable counting modules,FSC-147 test,6.75,43.65,https://proceedings.neurips.cc/paper_files/paper/2024/file/57c56985d9afe89bf78a8264c91071aa-Paper-Conference.pdf,Table 1; PDF p.8,verified,2026-08-10,Original GT; prompt contains more information than standard three-box methods.
one_shot_trained,LOCA-1shot,ICCV,2023,1 visual exemplar,FSC-147 training; SwAV-pretrained backbone,FSC-147 test,12.53,75.32,https://openaccess.thecvf.com/content/ICCV2023/papers/Dukic_A_Low-Shot_Object_Counting_Network_With_Iterative_Prototype_Adaptation_ICCV_2023_paper.pdf,Table 2; paper p.18876 / PDF p.6,verified,2026-08-10,Not comparable to three-shot results.
one_shot_trained,DAVE-1shot,CVPR,2024,1 visual exemplar,FSC-147 training; mixed-class augmentation,FSC-147 test,11.29,66.36,https://openaccess.thecvf.com/content/CVPR2024/papers/Pelhan_DAVE_-_A_Detect-and-Verify_Paradigm_for_Low-Shot_Counting_CVPR_2024_paper.pdf,Table 2; paper p.23297 / PDF p.6,verified,2026-08-10,Density/count output.
one_shot_detection,GeCo-1shot,NeurIPS,2024,1 visual exemplar,FSCD-147/FSC-147 training; frozen SAM; detection losses,FSC-147 test,8.1,60.16,https://papers.nips.cc/paper_files/paper/2024/file/7a0f8055c838df8e62329a76c7c6403d-Paper-Conference.pdf,Table 3; PDF p.8,verified,2026-08-10,Strictly counted from predicted boxes.
detection_output_strict,DAVEbox,CVPR,2024,3 visual exemplars,FSC-147 training; count predicted detection boxes,FSC-147 test,10.45,74.51,https://openaccess.thecvf.com/content/CVPR2024/papers/Pelhan_DAVE_-_A_Detect-and-Verify_Paradigm_for_Low-Shot_Counting_CVPR_2024_paper.pdf,Table 8; extended results,verified,2026-08-10,Do not substitute DAVE-density 8.66/32.36.
detection_output_strict,PseCo,CVPR,2024,3 visual exemplars,FSC-147 training; SAM and CLIP foundation models; thresholded instance outputs,FSC-147 test,13.05,112.86,https://openaccess.thecvf.com/content/CVPR2024/papers/Huang_Point_Segment_and_Count_A_Generalized_Framework_for_Object_Counting_CVPR_2024_paper.pdf,Table 1; paper p.17073 / PDF p.7,verified,2026-08-10,Count from filtered instances; AP and count outputs must not be mixed.
detection_output_strict,GeCo,NeurIPS,2024,3 visual exemplars,FSCD-147/FSC-147 training; frozen SAM; detection losses,FSC-147 test,7.91,54.28,https://papers.nips.cc/paper_files/paper/2024/file/7a0f8055c838df8e62329a76c7c6403d-Paper-Conference.pdf,Table 1; PDF p.6,verified,2026-08-10,Uses FSCD-147 detection extension and counts output boxes.
detection_reference_less,GeCo-0shot,NeurIPS,2024,no exemplar and no text,FSCD-147/FSC-147 training; model run twice for size estimation,FSC-147 test,13.3,108.72,https://papers.nips.cc/paper_files/paper/2024/file/7a0f8055c838df8e62329a76c7c6403d-Paper-Conference.pdf,Table 4; PDF p.8,verified,2026-08-10,Strict detection output; separate from density referenceless methods.
training_free_3shot,CountingDINO-DINO-ViT-B/8,WACV,2026,3 visual exemplars,no FSC-147 task training; self-supervised DINO backbone,FSC-147 test,30.05,90.3,https://openaccess.thecvf.com/content/WACV2026/papers/Pacini_CountingDINO_A_Training-free_Pipeline_for_Class-Agnostic_Counting_using_Unsupervised_Backbones_WACV_2026_paper.pdf,Table 1,verified,2026-08-10,Training-free; keep backbone variants separate.
training_free_3shot,CountingDINO-DINOv2-ViT-L/14-reg,WACV,2026,3 visual exemplars,no FSC-147 task training; DINOv2 backbone with registers,FSC-147 test,20.93,71.37,https://openaccess.thecvf.com/content/WACV2026/papers/Pacini_CountingDINO_A_Training-free_Pipeline_for_Class-Agnostic_Counting_using_Unsupervised_Backbones_WACV_2026_paper.pdf,Tables 1 and 3,verified,2026-08-10,Paper main model; 3-exemplar setting.
modified_split_or_corrected_gt,CounTR-E3-no7171,BMVC,2022,3 visual exemplars,same CounTR model; removes problematic test image 7171.jpg,modified FSC-147 test,11.22,87.68,https://www.robots.ox.ac.uk/~vgg/publications/2022/Liu22/liu22.pdf,Table 2; PDF p.10,verified,2026-08-10,Modified test set; never rank with standard test.
modified_split_or_corrected_gt,CounTX-description-star,BMVC / CountGD reevaluation,2024,rich text description,CounTX evaluated against CountGD corrected annotations,corrected FSC-147 test,15.69,106.06,https://proceedings.neurips.cc/paper_files/paper/2024/file/57c56985d9afe89bf78a8264c91071aa-Paper-Conference.pdf,Table 1; PDF p.8,verified,2026-08-10,Secondary recomputation by CountGD; not CounTX original standard-GT result.
modified_split_or_corrected_gt,CountGDtxt-star,NeurIPS,2024,text only,same CountGDtxt; corrected annotations,corrected FSC-147 test,12.98,98.35,https://proceedings.neurips.cc/paper_files/paper/2024/file/57c56985d9afe89bf78a8264c91071aa-Paper-Conference.pdf,Table 1; PDF p.8,verified,2026-08-10,Do not mix with standard-GT 14.76/120.42.
modified_split_or_corrected_gt,CountGD-star,NeurIPS,2024,3 visual exemplars plus text,same CountGD; corrected annotations,corrected FSC-147 test,5.74,24.09,https://proceedings.neurips.cc/paper_files/paper/2024/file/57c56985d9afe89bf78a8264c91071aa-Paper-Conference.pdf,Table 1; PDF p.8,verified,2026-08-10,Do not present 5.74 as the standard FSC-147 leaderboard result.
